PWS.ID,Primary.Source,Service.Connections.Count,Longitude,Latitude,Population.2016,Population.2021,Population.Change,Maximum.contaminant.levels.violation,Treatment.technique.violation,Health.violation,Monitoring.and.reporting.violation,SAFER.STATUS,Physical_Consolidation_Type,Physical_Cluster_Number,Managerial_Consolidation_Type,Managerial_Cluster_Number
CA2701658,Ground water,60,-121.47182793172034,36.23429698895512,130,130,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1252,Balanced_Merger,380
CA5500057,Ground water,162,-120.13712128095504,38.090322630872265,567,567,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1253,Balanced_Merger,681
CA1900907,Ground water,185,-118.06163880440684,34.70665904488887,600,540,-0.1,0.0,0.0,0.0,1.0,Potentially At-Risk,No_Consolidation,1254,Balanced_Merger,223
CA5500048,Surface water,18,-120.41445311020225,37.70346681270232,1041,1041,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1255,Balanced_Merger,550
CA5500077,Ground water,153,-120.269166125206,38.01025416338679,315,417,0.3238095238095238,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1256,Balanced_Merger,544
CA1502663,Ground water,22,-119.10550392410332,35.4362056707048,73,73,0.0,0.0,0.0,0.0,1.0,Not At-Risk,No_Consolidation,1257,Direct_Acquisition,686
CA1400010,Ground water,285,-118.30539231561907,37.18072715757242,800,1225,0.53125,0.0,0.0,0.0,3.0,Not At-Risk,No_Consolidation,1258,Balanced_Merger,692
CA1600023,Surface water,21,-119.95897197996312,36.180195839745046,75,73,-0.0266666666666666,0.0,0.0,0.0,0.0,Potentially At-Risk,No_Consolidation,1259,No_Consolidation,982
CA5700571,Ground water,149,-121.97049357354244,38.679981130515486,876,876,0.0,0.0,0.0,0.0,8.0,At-Risk,No_Consolidation,1260,Balanced_Merger,740
CA2701355,Ground water,55,-121.6593665321547,36.40066177448964,126,126,0.0,0.0,0.0,0.0,0.0,At-Risk,Balanced_Merger,272,Balanced_Merger,166
CA4810008,Surface water,29170,-121.9679506170856,38.35968243073929,96735,96735,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1261,Direct_Acquisition,353
CA1010062,Ground water,50,-119.69743836588016,36.98767096182696,58,274,3.724137931034482,0.0,0.0,0.0,2.0,Not At-Risk,No_Consolidation,1262,Balanced_Merger,484
CA1010051,Surface water,251,-119.7154860620167,36.98503758136408,800,772,-0.035,0.0,0.0,0.0,1.0,Not At-Risk,No_Consolidation,1263,Balanced_Merger,484
CA1100444,Ground water,74,-122.2098582479517,39.73879274911491,150,200,0.3333333333333333,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1264,Direct_Acquisition,399
CA5510023,Purchased water,448,-120.27594031987188,38.01548239798671,1123,1123,0.0,0.0,0.0,0.0,0.0,Not At-Risk,Balanced_Merger,186,Balanced_Merger,544
CA5010017,Ground water,6755,-121.10672902686515,37.48002095579086,22560,23764,0.0533687943262411,0.0,0.0,0.0,0.0,Potentially At-Risk,No_Consolidation,1265,Direct_Acquisition,365
CA3610033,Ground water,112,-117.6581721847743,34.2381815932048,350,1700,3.857142857142857,0.0,0.0,0.0,3.0,Not At-Risk,Balanced_Merger,206,Balanced_Merger,592
CA2810012,Ground water,313,-122.44081129214229,38.56904785045772,2360,2360,0.0,0.0,0.0,0.0,0.0,Not At-Risk,Balanced_Merger,112,Balanced_Merger,339
CA1800503,Ground water,50,-120.56949651047178,40.38132208550125,100,140,0.4,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1266,Balanced_Merger,402
CA1000585,Ground water,10,-120.44245073058237,36.65628676548247,29,25,-0.1379310344827586,0.0,0.0,0.0,0.0,At-Risk,No_Consolidation,1267,No_Consolidation,983
CA1100413,Ground water,33,-122.13631986343808,39.74587416140192,40,40,0.0,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1268,Direct_Acquisition,399
CA2000605,Ground water,30,-119.60975436524018,37.359363996259965,31,36,0.1612903225806451,0.0,0.0,0.0,0.0,Not At-Risk,Balanced_Merger,148,Joint_Merger,26
CA2210925,Ground water,53,-120.12464376818306,37.74880364724602,75,130,0.7333333333333333,0.0,0.0,0.0,0.0,Failing,No_Consolidation,1269,No_Consolidation,984
CA1510015,Purchased water,11693,-119.04659772462934,35.430590789677936,26000,36726,0.4125384615384615,0.0,0.0,0.0,1.0,Not Assessed,No_Consolidation,1270,Direct_Acquisition,163
CA0707574,Ground water,211,-121.63336747791764,38.02240312318386,400,400,0.0,0.0,0.0,0.0,0.0,At-Risk,No_Consolidation,1271,Balanced_Merger,311
CA4800531,Ground water,40,-122.00219920436017,38.343043722744426,60,60,0.0,0.0,0.0,0.0,1.0,Not At-Risk,No_Consolidation,1272,Direct_Acquisition,353
CA1502744,Ground water,10,-118.23769743694334,34.85083138203149,44,39,-0.1136363636363636,8.0,0.0,8.0,0.0,Failing,Balanced_Merger,92,Balanced_Merger,332
CA1910148,Ground water,3784,-118.05028517380298,34.16861121403028,11094,11000,-0.0084730484946818,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1273,Balanced_Merger,154
CA1900102,Ground water,166,-118.15755871577636,34.61165891594162,485,485,0.0,0.0,0.0,0.0,1.0,Not At-Risk,Balanced_Merger,222,Balanced_Merger,295
CA3210007,Ground water,500,-121.2090456555954,40.24026104306504,500,1394,1.788,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1274,No_Consolidation,985
CA5810006,Surface water,785,-121.227523667551,39.42732229201879,3105,2772,-0.1072463768115942,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1275,No_Consolidation,986
CA5410003,Ground water,3298,-119.1450500786178,36.29393715785521,10539,10548,0.0008539709649871,0.0,0.0,0.0,6.0,Not At-Risk,No_Consolidation,1276,Direct_Acquisition,292
CA4900521,Ground water,92,-122.9183829320226,38.74052589518888,100,232,1.32,0.0,0.0,0.0,0.0,Not At-Risk,No_Consolidation,1277,Balanced_Merger,683
CA3610046,Purchased water,218,-117.30455682166064,34.23340725152648,499,499,0.0,0.0,0.0,0.0,5.0,Not At-Risk,No_Consolidation,1278,Balanced_Merger,408
CA1310003,Surface water,1164,-115.51274519772387,33.152529443152055,4463,4335,-0.0286802599148554,0.0,0.0,0.0,0.0,At-Risk,No_Consolidation,1279,Balanced_Merger,691
CA5510012,Surface water,4005,-120.22306081776756,38.03886441911247,9384,9744,0.0383631713554987,0.0,0.0,0.0,0.0,Not At-Risk,Balanced_Merger,241,Balanced_Merger,113
