Distance_km,Joint_Merger_Total,Joint_Merger_Health_Violation,Joint_Merger_Monitoring_Violation,Joint_Merger_Decreasing_Population,Joint_Merger_SAFER_Failing,Balanced_Merger_Total,Balanced_Merger_Health_Violation,Balanced_Merger_Monitoring_Violation,Balanced_Merger_Decreasing_Population,Balanced_Merger_SAFER_Failing,Direct_Acquisition_Total,Direct_Acquisition_Health_Violation,Direct_Acquisition_Monitoring_Violation,Direct_Acquisition_Decreasing_Population,Direct_Acquisition_SAFER_Failing,No_Consolidation_Total,No_Consolidation_Health_Violation,No_Consolidation_Monitoring_Violation,No_Consolidation_Decreasing_Population,No_Consolidation_SAFER_Failing,Total_Systems,Total_Consolidation,Total_Health_Violation,Total_Monitoring_Violation,Total_Decreasing_Population,Total_SAFER_Failing
103,1809,66,335,283,103,773,276,368,109,176,160,56,80,32,27,5,2,3,1,3,2747,2742,400,786,425,309
104,1809,66,335,283,103,779,280,371,109,178,154,52,77,32,25,5,2,3,1,3,2747,2742,400,786,425,309
105,1809,66,335,283,103,779,280,371,109,178,154,52,77,32,25,5,2,3,1,3,2747,2742,400,786,425,309
106,1809,66,335,283,103,786,285,374,112,180,148,48,75,30,24,4,1,2,0,2,2747,2743,400,786,425,309
107,1809,66,335,283,103,803,294,382,118,186,131,39,67,24,18,4,1,2,0,2,2747,2743,400,786,425,309
108,1809,66,335,283,103,803,294,382,118,186,131,39,67,24,18,4,1,2,0,2,2747,2743,400,786,425,309
109,1809,66,335,283,103,810,296,386,119,186,124,37,63,23,18,4,1,2,0,2,2747,2743,400,786,425,309
110,1809,66,335,283,103,810,296,386,119,186,124,37,63,23,18,4,1,2,0,2,2747,2743,400,786,425,309
111,1809,66,335,283,103,815,301,388,120,189,119,32,61,22,15,4,1,2,0,2,2747,2743,400,786,425,309
112,1809,66,335,283,103,816,301,389,120,189,119,32,61,22,15,3,1,1,0,2,2747,2744,400,786,425,309
113,1809,66,335,283,103,816,301,389,120,189,119,32,61,22,15,3,1,1,0,2,2747,2744,400,786,425,309
114,1809,66,335,283,103,816,301,389,120,189,119,32,61,22,15,3,1,1,0,2,2747,2744,400,786,425,309
115,1809,66,335,283,103,816,301,389,120,189,119,32,61,22,15,3,1,1,0,2,2747,2744,400,786,425,309
